model_key,contest_number,contest_name,contest_family,candidate,candidate_clean,candidate_votes,contest_votes,candidate_share,n_precincts,base_r2,expanded_r2,gain_vs_base,r2_no_prior,prior_unique_gain,r2_prior_only,new_demo_unique_gain,prior_count,prior_cols,mean_abs_resid_pp,valid_model,reliability
17_fred_hill,17,DEM AT-LARGE MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,AT-LARGE COUNCIL,Fred Hill,FRED HILL,5155,94144,5.4756543167912985,144,0.5268524043489629,0.6756444489325031,0.14879204458354023,0.6268536952783086,0.048790753654194496,0.06787146014141754,0.051515588151609615,1,zprior_2022_general_certified_november_8_2022_general_election_certifi_fred_hill,1.5302340553432743,True,medium
27_jerome_hinkle,27,DEM AT-LARGE COMMITTEEMAN ,AT-LARGE COUNCIL,Jerome Hinkle,JEROME HINKLE,29000,371910,7.79758543733699,144,0.48126942019341346,0.6735091705050212,0.19223975031160778,0.6735091705050212,0.0,,0.19223975031160778,0,,0.8326933417929353,True,medium
27_maleke_glee,27,DEM AT-LARGE COMMITTEEMAN ,AT-LARGE COUNCIL,Maleke Glee,MALEKE GLEE,29737,371910,7.995751660347934,144,0.4738813830175219,0.661988617275835,0.1881072342583131,0.661988617275835,0.0,,0.1881072342583131,0,,0.871558636541016,True,medium
27_thomas_elias,27,DEM AT-LARGE COMMITTEEMAN ,AT-LARGE COUNCIL,Thomas Elias,THOMAS ELIAS,29468,371910,7.923422333360222,144,0.48147440522855234,0.6371363837516347,0.1556619785230824,0.6371363837516347,0.0,,0.1556619785230824,0,,0.8011940396628393,True,medium
28_irene_kang,28,DEM AT-LARGE COMMITTEEWOMAN ,AT-LARGE COUNCIL,Irene Kang,IRENE KANG,24008,380764,6.305217930266517,144,0.43764845178218814,0.6289695056683905,0.19132105388620235,0.6289695056683905,0.0,,0.19132105388620235,0,,0.7878710483531747,True,medium
17_leniqua_dominique_jenkins,17,DEM AT-LARGE MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,AT-LARGE COUNCIL,Leniqua'dominique Jenkins,LENIQUA DOMINIQUE JENKINS,2804,94144,2.978416043507818,144,0.6023019652720105,0.62708410810175,0.02478214282973945,0.62708410810175,0.0,,0.02478214282973945,0,,0.9178289463255906,True,medium
17_dwight_davis,17,DEM AT-LARGE MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,AT-LARGE COUNCIL,Dwight Davis,DWIGHT DAVIS,5624,94144,5.9738273283480625,144,0.5404342004263041,0.6232931559907886,0.08285895556448453,0.6232931559907886,0.0,,0.08285895556448453,0,,1.2747220212059396,True,medium
28_samantha_davis,28,DEM AT-LARGE COMMITTEEWOMAN ,AT-LARGE COUNCIL,Samantha Davis,SAMANTHA DAVIS,31849,380764,8.36449874462922,144,0.42193855876415287,0.6184579730962279,0.19651941433207498,0.6184579730962279,0.0,,0.19651941433207498,0,,0.7366507454941146,True,medium
27_manny_geraldo,27,DEM AT-LARGE COMMITTEEMAN ,AT-LARGE COUNCIL,Manny Geraldo,MANNY GERALDO,21800,371910,5.861633190825738,144,0.4458305138694527,0.6060669286764743,0.16023641480702155,0.6060669286764743,0.0,,0.16023641480702155,0,,0.7285270046654992,True,medium
28_maria_patricia_corrales,28,DEM AT-LARGE COMMITTEEWOMAN ,AT-LARGE COUNCIL,Maria Patricia Corrales,MARIA PATRICIA CORRALES,20406,380764,5.359225136830163,142,0.36509655610005376,0.5881877230978587,0.22309116699780496,0.5731657328815536,0.015021990216305126,0.1936294428128763,0.18044243431477947,1,zprior_2022_primary_certified_june_21_2022_primary_election_certified__maria_patricia_corrales,0.6740381329996049,True,low
