model_key,contest_name,contest_family,candidate,term,coef_pp_per_sd,p_value,unique_drop_r2,expanded_r2,term_group,valid_model,reliability
14_kinney_zalesne,DEM DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,DELEGATE TO THE U S HOUSE OF REPRESENTATIVES,Kinney Zalesne,zpRenter,0.8827620758006347,0.03404957902286707,0.012851624688970276,0.6215967444711857,renter,True,medium
14_kinney_zalesne,DEM DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,DELEGATE TO THE U S HOUSE OF REPRESENTATIVES,Kinney Zalesne,zp2534,-1.9718494088427678,1.71206008747653e-06,0.07021135203112061,0.6215967444711857,age_25_34,True,medium
14_kinney_zalesne,DEM DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,DELEGATE TO THE U S HOUSE OF REPRESENTATIVES,Kinney Zalesne,zpTransit,0.46295759983101314,0.11188115075602158,0.007177874059467126,0.6215967444711857,transit,True,medium
14_kinney_zalesne,DEM DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,DELEGATE TO THE U S HOUSE OF REPRESENTATIVES,Kinney Zalesne,zdensity,-0.5310757784394519,0.048582937139270664,0.011102922411588945,0.6215967444711857,density,True,medium
14_robert_white,DEM DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,DELEGATE TO THE U S HOUSE OF REPRESENTATIVES,Robert White,zpBlk,13.795360456034853,1.680985515290441e-10,0.10674429705585631,0.6988059079447951,black_share,True,low
14_robert_white,DEM DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,DELEGATE TO THE U S HOUSE OF REPRESENTATIVES,Robert White,zmedAge,-1.56219173965679,0.07231043502441248,0.007320075154218064,0.6988059079447951,median_age,True,low
14_robert_white,DEM DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,DELEGATE TO THE U S HOUSE OF REPRESENTATIVES,Robert White,zmedInc,0.6906318121532868,0.6303179024190413,0.0005191460759464972,0.6988059079447951,income,True,low
14_robert_white,DEM DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,DELEGATE TO THE U S HOUSE OF REPRESENTATIVES,Robert White,zpCollege,1.5665227225021052,0.5034233245253528,0.0010042522582728308,0.6988059079447951,college,True,low
14_robert_white,DEM DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,DELEGATE TO THE U S HOUSE OF REPRESENTATIVES,Robert White,zpRenter,-3.158679666845922,0.00754158358277294,0.016418814163857487,0.6988059079447951,renter,True,low
14_robert_white,DEM DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,DELEGATE TO THE U S HOUSE OF REPRESENTATIVES,Robert White,zp2534,2.6032502568086953,0.020777427911140515,0.012211010505835618,0.6988059079447951,age_25_34,True,low
